Test:  [190/782]  eta: 0:00:57  loss: 0.9524 (0.7106)  acc1: 75.7812 (84.2523)  acc5: 95.3125 (96.9568)  time: 0.0725  data: 0.0391  max mem: 398
Test:  [200/782]  eta: 0:00:55  loss: 0.8734 (0.7150)  acc1: 77.3438 (84.0679)  acc5: 96.0938 (96.9527)  time: 0.0782  data: 0.0447  max mem: 398
Test:  [210/782]  eta: 0:00:53  loss: 0.7323 (0.7180)  acc1: 85.1562 (83.8900)  acc5: 97.6562 (96.9565)  time: 0.0743  data: 0.0409  max mem: 398
Test:  [220/782]  eta: 0:00:52  loss: 0.7919 (0.7261)  acc1: 80.4688 (83.5584)  acc5: 97.6562 (96.9634)  time: 0.0734  data: 0.0399  max mem: 398
Test:  [230/782]  eta: 0:00:51  loss: 0.6028 (0.7158)  acc1: 85.9375 (83.8914)  acc5: 98.4375 (97.0475)  time: 0.0802  data: 0.0467  max mem: 398
Test:  [240/782]  eta: 0:00:50  loss: 0.4842 (0.7110)  acc1: 91.4062 (84.0703)  acc5: 98.4375 (97.0825)  time: 0.0817  data: 0.0482  max mem: 398
Test:  [250/782]  eta: 0:00:49  loss: 0.5689 (0.7090)  acc1: 85.1562 (84.1042)  acc5: 97.6562 (97.0960)  time: 0.0866  data: 0.0531  max mem: 398
Test:  [260/782]  eta: 0:00:48  loss: 0.5327 (0.6989)  acc1: 89.8438 (84.3989)  acc5: 98.4375 (97.1444)  time: 0.0878  data: 0.0544  max mem: 398
Test:  [270/782]  eta: 0:00:47  loss: 0.4484 (0.6947)  acc1: 91.4062 (84.5163)  acc5: 98.4375 (97.1748)  time: 0.0851  data: 0.0517  max mem: 398
Test:  [280/782]  eta: 0:00:46  loss: 0.6095 (0.6969)  acc1: 80.4688 (84.3667)  acc5: 97.6562 (97.2031)  time: 0.0879  data: 0.0544  max mem: 398
Test:  [290/782]  eta: 0:00:45  loss: 0.6095 (0.6939)  acc1: 85.9375 (84.5200)  acc5: 97.6562 (97.1811)  time: 0.0855  data: 0.0520  max mem: 398
Test:  [300/782]  eta: 0:00:44  loss: 0.6541 (0.6969)  acc1: 87.5000 (84.4399)  acc5: 96.8750 (97.1605)  time: 0.0814  data: 0.0480  max mem: 398
Test:  [310/782]  eta: 0:00:42  loss: 0.6751 (0.6923)  acc1: 85.9375 (84.5609)  acc5: 96.8750 (97.1764)  time: 0.0817  data: 0.0482  max mem: 398
Test:  [320/782]  eta: 0:00:41  loss: 0.6931 (0.6932)  acc1: 85.1562 (84.5162)  acc5: 97.6562 (97.1379)  time: 0.0761  data: 0.0426  max mem: 398
Test:  [330/782]  eta: 0:00:40  loss: 0.8334 (0.7079)  acc1: 78.1250 (84.1248)  acc5: 93.7500 (96.9859)  time: 0.0772  data: 0.0437  max mem: 398
Test:  [340/782]  eta: 0:00:39  loss: 0.9809 (0.7117)  acc1: 75.7812 (84.0543)  acc5: 93.7500 (96.9323)  time: 0.0888  data: 0.0554  max mem: 398
Test:  [350/782]  eta: 0:00:38  loss: 0.8161 (0.7185)  acc1: 81.2500 (83.9120)  acc5: 94.5312 (96.8394)  time: 0.0798  data: 0.0464  max mem: 398
Test:  [360/782]  eta: 0:00:37  loss: 0.9055 (0.7250)  acc1: 79.6875 (83.7344)  acc5: 94.5312 (96.7755)  time: 0.0664  data: 0.0329  max mem: 398
Test:  [370/782]  eta: 0:00:36  loss: 1.0091 (0.7326)  acc1: 77.3438 (83.5938)  acc5: 93.7500 (96.6771)  time: 0.0787  data: 0.0453  max mem: 398
Test:  [380/782]  eta: 0:00:35  loss: 1.1130 (0.7409)  acc1: 75.0000 (83.3641)  acc5: 92.9688 (96.5961)  time: 0.0846  data: 0.0511  max mem: 398
Test:  [390/782]  eta: 0:00:34  loss: 0.8723 (0.7458)  acc1: 75.0000 (83.2601)  acc5: 94.5312 (96.5473)  time: 0.0760  data: 0.0425  max mem: 398
Test:  [400/782]  eta: 0:00:33  loss: 0.9386 (0.7525)  acc1: 77.3438 (83.0599)  acc5: 94.5312 (96.4776)  time: 0.0769  data: 0.0433  max mem: 398
Test:  [410/782]  eta: 0:00:32  loss: 0.9986 (0.7606)  acc1: 77.3438 (82.8695)  acc5: 92.9688 (96.3770)  time: 0.0860  data: 0.0522  max mem: 398
Test:  [420/782]  eta: 0:00:31  loss: 0.9546 (0.7651)  acc1: 78.1250 (82.7643)  acc5: 93.7500 (96.3554)  time: 0.0895  data: 0.0559  max mem: 398
Test:  [430/782]  eta: 0:00:31  loss: 0.9001 (0.7680)  acc1: 78.9062 (82.7201)  acc5: 95.3125 (96.3022)  time: 0.0871  data: 0.0536  max mem: 398
Test:  [440/782]  eta: 0:00:30  loss: 0.6860 (0.7659)  acc1: 85.1562 (82.8054)  acc5: 96.0938 (96.3046)  time: 0.0867  data: 0.0530  max mem: 398
